NZ000093012,1968,118.14984709480122
NZ000093012,1967,117.9871382636656
NZM00093110,2013,117.91441441441441
NZ000093012,1966,117.8594249201278
NZ000093012,2002,117.45753424657535
NZ000093012,1969,117.4493670886076
NZ000093012,2003,117.0958904109589
NZM00093110,2010,116.8840579710145
NZ000093012,1984,116.60714285714286
NZM00093110,2011,116.51739130434783
NZ000093012,1985,116.1921921921922
NZM00093110,2015,115.85106382978724
NZM00093110,2005,115.84279475982532
NZ000093012,1986,115.64010989010988
NZ000093012,1991,115.0027397260274
NZM00093110,2008,114.78440366972477
NZM00093110,2007,113.91479820627802
NZM00093110,2003,112.71681415929204
NZ000093012,1994,112.21095890410959
NZ000093012,1997,112.1945205479452
NZM00093110,2017,112.15277777777777
NZ000093012,1992,112.14754098360656
NZ000093012,1983,112.03461538461538
NZ000093012,1982,111.78174603174604
NZM00093110,2014,110.62857142857143
NZ000093012,2004,110.56284153005464
NZ000939870,2012,110.36206896551724
NZM00093439,2013,110.01913875598086
NZM00093110,2006,109.43809523809524
NZM00093110,2012,108.98660714285714
NZM00093110,2002,108.83333333333333
NZM00093110,2004,108.67441860465117
NZM00093110,2009,108.64516129032258
NZM00093439,2005,107.61352657004831
NZ000093012,1993,107.58630136986301
NZ000933090,1998,107.02739726027397
NZM00093439,2016,106.97101449275362
NZM00093439,2017,105.38
NZ000933090,1988,105.3688524590164
NZM00093439,2010,105.31674208144797
NZ000933090,1999,104.6
NZ000933090,1995,104.58677685950413
NZ000933090,2001,104.5041095890411
NZ000933090,1960,90.8415300546448
NZ000939870,1979,90.83287671232877
NZ000939870,1987,90.78630136986301
NZ000939870,1984,90.77868852459017
NZ000933090,1964,90.75956284153006
NZ000093417,1983,90.72876712328767
NZ000933090,1959,90.69589041095891
NZ000933090,2006,90.61702127659575
NZ000939870,1974,90.6054794520548
NZ000093292,1975,90.55342465753425
NZ000939870,1985,90.5013698630137
NZ000939870,1981,90.32328767123288
NZ000939870,2002,90.30684931506849
NZ000933090,1976,90.16939890710383
NZ000093417,2004,90.15027322404372
NZ000093292,1992,90.09917355371901
NZ000093292,1994,90.08815426997245
NZ000093292,1980,89.92622950819673
NZM00093678,2010,89.83185840707965
NZ000093292,2010,89.79555555555555
NZ000933090,1982,89.76164383561644
NZ000093417,1994,89.5989010989011
NZ000093292,1984,89.53005464480874
NZ000933090,1952,89.52185792349727
NZ000093417,1972,89.51366120218579
NZ000093417,1985,89.46575342465754
NZ000939870,1957,89.21369863013699
NZ000093292,1987,89.16164383561645
NZ000093292,1962,88.91317365269461
NZ000939870,2003,88.87397260273973
NZ000933090,1966,88.74246575342465
NZM00093678,2002,88.74193548387096
NZ000933090,1946,88.64383561643835
NZ000933090,1950,88.54120879120879
NZ000933090,1977,88.47671232876712
NZ000939870,1968,88.34699453551913
NZ000093417,1991,88.31506849315069
NZ000939870,1964,88.17486338797814
NZ000093292,1978,88.12054794520547
NZ000933090,1949,88.08493150684932
NZ000933090,1969,87.84931506849315
NZ000093292,2008,87.83710407239819
NZ000939870,1965,84.78630136986301
NZ000939870,1980,84.55737704918033
NZ000093292,1965,84.45479452054795
NZ000933090,2014,84.29901960784314
NZ000939870,1983,84.25205479452055
NZ000939870,1969,84.1945205479452
NZM00093678,2007,84.1924882629108
NZ000933090,2009,84.08968609865471
NZ000937470,1968,84.0
NZ000939870,1963,83.98351648351648
NZ000093292,1982,83.97260273972603
NZ000939870,1993,83.88461538461539
NZM00093678,2011,83.76339285714286
NZ000939870,1973,83.73424657534247
NZ000093417,1993,83.69315068493151
NZ000939870,1982,83.65384615384616
NZM00093678,2015,83.64159292035399
NZ000939870,1967,83.57260273972602
NZ000093417,2008,83.35911602209944
NZ000093417,1992,83.13934426229508
NZ000939870,1959,82.98904109589041
NZ000093292,1976,82.96994535519126
NZ000093417,2011,82.9560975609756
NZ000936150,1999,82.88767123287671
NZ000939870,1966,82.82191780821918
NZ000093292,2009,82.64651162790697
NZ000093292,2012,82.52403846153847
NZ000936150,1971,82.44657534246575
NZ000093292,1969,82.42191780821918
NZM00093678,2012,82.33944954128441
NZ000093292,1977,82.06849315068493
NZ000093292,2015,82.06363636363636
NZ000093417,2006,82.01005025125629
NZM00093678,2004,81.82959641255606
NZ000093292,1993,81.64166666666667
NZ000936150,1989,81.6027397260274
NZM00093678,2006,81.40625
NZ000093417,2017,81.2589928057554
NZ000936150,2005,81.12602739726027
NZ000939870,1976,80.67123287671232
NZ000936150,1981,80.56986301369864
NZ000939870,2006,80.35858585858585
NZ000936150,1998,80.26027397260275
NZ000936150,1978,80.23835616438356
NZ000939870,1992,80.23626373626374
NZ000936150,1987,80.18630136986302
NZ000936150,1974,80.15616438356165
NZ000936150,1984,79.82786885245902
NZM00093678,2009,79.79372197309416
NZ000936150,1990,79.52602739726028
NZ000936150,1985,79.25205479452055
NZ000936150,1970,79.06027397260274
NZ000093417,2007,78.8360655737705
NZ000936150,2001,78.28493150684932
NZ000936150,2002,78.27123287671233
NZ000936150,1986,78.16986301369863
NZ000936150,1988,77.53005464480874
NZ000936150,1979,77.28767123287672
NZ000936150,2000,77.26462395543176
NZ000093417,2009,77.00487804878048
NZ000936150,1975,75.93956043956044
NZ000936150,1980,75.7896174863388
NZ000936150,1995,75.6923076923077
NZ000936150,1966,75.34246575342466
NZ000093417,2012,74.89201877934272
NZ000936150,1996,74.81420765027322
NZ000939870,2007,74.47169811320755
NZ000093417,2014,74.30541871921183
NZ000936150,1967,74.0986301369863
NZ000936150,2003,73.85479452054794
NZ000939870,2010,73.78947368421052
