1940,201.03010033444815
1942,196.96328293736502
2013,184.20402724311518
2015,179.95441089402013
2014,178.79167904903417
2012,171.47815072830906
2005,170.98268921095007
1941,170.51553930530164
2011,170.50861045130642
1998,170.4211986681465
2009,167.89397905759162
2003,167.45483870967743
1985,167.3787994891443
2017,167.37174159425766
2006,167.14163090128756
1986,166.487263556116
2000,166.2591059602649
2002,165.77663057164443
1987,164.92160855179435
1981,164.9070545829042
1970,162.65275813295617
1996,162.2105840416781
2004,161.82415125025412
1975,161.80365296803652
1982,159.33590015932023
1955,159.09150684931507
1943,158.99118942731278
1969,158.97412996612258
1954,157.8761013215859
1993,157.65518155314075
1944,157.23813868613138
1945,157.2283105022831
1972,157.0838141512299
1983,156.61928274428274
1947,156.3296803652968
1946,156.2958904109589
1977,155.94639049649712
1964,155.86311141304347
1992,155.30422389220004
1965,153.51929587000677
1953,153.26703296703297
1961,151.7913862718708
1951,151.7377948436643
1971,178.59908675799088
2016,173.41856925418568
2010,172.82831695331694
2008,172.6850915982312
1999,171.78042763157896
2007,170.02985534010466
1989,169.02915821501014
1988,168.35096153846155
1990,168.26917098445597
2001,168.22160664819944
1984,164.58886894075403
1995,163.71566464423609
1974,163.34703196347033
1978,163.08041425525434
1962,162.858261550509
1980,161.767607424358
1979,161.63125665601703
1968,161.24380165289256
1973,161.23774733637748
1991,160.96890927624872
1997,160.79577850877192
1967,160.2038508557457
1956,159.9010989010989
1994,159.67080075492046
1966,159.38278388278388
1976,155.2151321786691
1948,155.15091463414635
1960,155.01251676352257
1963,154.8489623366641
1950,154.32236842105263
1949,154.1421052631579
1957,153.88675799086758
1952,153.6631925397696
1958,153.62465753424658
1959,153.5427135678392
