CA,392100
IN,102864
OK,104545
WY,226850
MI,174357
MS,87576
NM,163192
OR,313116
GA,126369
DC,135
HI,36081
MA,76411
NV,137687
RI,5629
TX,310652
VT,44068
UM,0
MT,308793
ND,150027
NH,33203
OH,113376
WI,139991
KS,112237
KY,116054
LA,57036
NE,146011
MD,47239
NY,178994
VA,118204
IL,105443
NJ,67105
PI,1
CT,23409
MN,149860
WV,106318
AZ,184860
ID,202865
SD,130595
AL,85478
AR,83724
CO,302419
FL,101194
IA,145466
MO,165328
NC,140794
AK,243231
DE,7653
ME,69162
PA,171418
UT,260022
WA,210848
SC,76048
TN,100139
